Movie Name,IMDB Rating,Budget (Million $),Revenue (Million $),Avg User Watch Time (Minutes),Type
Stranger Legacy,5.4,219.3,404.6,149.0,Series
Broken Destiny,9.2,56.2,52.1,165.7,Movie
Shadow Reckoning,7.8,104.6,111.8,115.6,Series
Final Reckoning,6.9,199.3,261.7,94.7,Series
Dark Reckoning,4.0,145.1,205.5,98.3,Series
Hidden Destiny,4.0,221.8,352.7,143.6,Movie
Midnight Reckoning,3.4,288.4,475.7,128.1,Movie
Lost Truth,8.6,35.8,91.3,118.4,Movie
Secret Legacy,6.9,213.2,595.5,84.3,Movie
Lost Truth,7.6,69.9,132.1,165.1,Movie
Lost Legacy,3.1,124.9,572.4,153.7,Movie
Lost Code,9.3,10.8,32.3,76.9,Series
Lost Reckoning,8.4,41.6,168.2,104.1,Movie
Lost Empire,4.4,96.6,450.1,125.1,Movie
Hidden Destiny,4.2,103.3,127.5,114.5,Series
Final Reckoning,4.2,270.0,654.9,107.7,Series
Dark Code,5.0,222.8,545.7,146.3,Series
Hidden War,6.4,291.7,611.1,66.5,Movie
Final Saga,5.8,180.1,97.3,116.6,Movie
Final Destiny,4.9,73.3,305.8,91.5,Movie
Eternal Destiny,7.0,99.0,99.2,70.2,Movie
Hidden Chronicles,3.9,96.6,481.0,115.8,Movie
Midnight Chronicles,4.9,98.6,392.3,80.6,Series
Shadow Legacy,5.4,202.2,628.9,91.0,Movie
Broken Reckoning,6.0,159.7,191.0,120.8,Movie
Lost Saga,8.1,116.2,327.6,176.8,Movie
Lost Saga,4.3,45.6,76.4,142.1,Movie
Broken Truth,6.3,7.6,12.4,93.6,Movie
Final Chronicles,6.9,66.4,281.1,105.9,Movie
Final Prophecy,3.3,33.1,73.2,108.7,Movie
Hidden Truth,6.9,235.8,596.2,78.4,Movie
Eternal Destiny,4.1,34.6,148.5,79.3,Movie
Shadow Prophecy,3.4,217.5,194.7,77.8,Movie
Hidden Legacy,9.2,116.3,369.3,122.6,Movie
Final Code,9.3,22.9,71.0,140.9,Movie
Dark War,8.3,244.0,588.9,130.9,Movie
Broken Destiny,5.0,174.3,738.0,177.3,Movie
Secret Destiny,3.6,71.5,339.1,75.1,Series
Secret Destiny,7.4,268.5,696.5,178.4,Movie
Midnight Code,5.9,14.5,37.0,116.0,Movie
Stranger Saga,3.8,61.3,169.1,86.2,Movie
Midnight Truth,6.2,225.9,848.0,173.2,Movie
Dark Legacy,3.2,213.1,747.2,116.2,Movie
Final Chronicles,8.9,87.5,131.5,101.7,Movie
Broken Truth,4.7,19.5,15.4,85.7,Movie
Shadow War,7.3,257.6,1229.2,92.1,Series
Dark Saga,5.0,94.8,158.8,177.5,Series
Shadow Prophecy,6.4,59.5,200.7,96.5,Series
Broken Truth,6.6,155.3,656.6,177.3,Series
Final Prophecy,4.2,273.2,505.8,99.6,Series
Secret Empire,9.3,14.0,47.0,87.8,Series
Midnight Code,8.0,230.0,226.7,82.0,Movie
Stranger Saga,9.1,172.2,837.7,109.4,Movie
Dark Prophecy,8.8,128.2,97.7,88.4,Movie
Final Destiny,6.9,223.5,552.4,143.6,Series
Midnight Legacy,9.0,289.8,845.0,88.8,Movie
Hidden Legacy,3.6,69.5,282.0,160.2,Movie
Broken Destiny,4.3,44.0,46.0,160.1,Movie
Secret Chronicles,3.3,274.0,680.5,94.3,Series
Hidden Truth,5.1,201.0,371.6,150.4,Series
Stranger Destiny,5.5,132.0,251.3,162.9,Movie
Stranger Truth,4.8,172.4,690.4,130.8,Movie
Stranger Prophecy,8.4,223.9,117.5,104.0,Series
Dark Truth,5.3,232.1,898.4,112.9,Movie
Secret Legacy,4.8,276.0,1144.5,154.3,Movie
Dark Empire,6.5,128.6,585.9,95.2,Series
Broken Empire,3.9,88.7,294.6,100.1,Movie
Eternal Reckoning,8.2,192.3,384.7,79.3,Movie
Secret Prophecy,3.5,125.3,303.5,107.9,Movie
Final Prophecy,9.4,178.8,869.6,70.4,Movie
Dark Chronicles,8.0,126.6,565.3,98.5,Series
Eternal Empire,4.3,46.7,120.8,104.8,Movie
Midnight Truth,3.0,141.4,670.8,90.7,Movie
Secret Legacy,8.3,207.6,872.6,72.2,Movie
Secret War,7.6,240.0,1093.2,122.6,Movie
